seed,fold,model_name,threshold,runtime,val_roc_auc,val_pr_auc,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_balanced_acc,val_mcc,val_brier,val_threshold,val_tp,val_fp,val_fn,val_tn,test_roc_auc,test_pr_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_balanced_acc,test_mcc,test_brier,test_threshold,test_tp,test_fp,test_fn,test_tn
42,2,LogisticRegression,0.58,1.5485596656799316,0.7934543251974157,0.5740742678828993,0.8067296996662959,0.5613608748481167,0.5804020100502513,0.8710714285714286,0.5707226683137739,0.7257367193108399,0.4461623324033271,0.18000770945868272,0.58,462,361,334,2439,0.7711221984467173,0.5485388812407981,0.7839145669948273,0.5108924806746311,0.548265460030166,0.8508677951574888,0.5289196071298654,0.6995666275938274,0.3893570353729598,0.1862604686306022,0.58,727,696,599,3971
42,2,CatBoost,0.58,13.538241863250732,0.8017744974874372,0.595387665001149,0.8028364849833148,0.5501730103806228,0.5992462311557789,0.8607142857142858,0.5736620565243535,0.7299802584350323,0.44642117508463464,0.17288388623663983,0.58,477,390,319,2410,0.7835405098730828,0.5700994364361798,0.7859169030535625,0.5146958304853042,0.5678733031674208,0.847868009427898,0.539978486912872,0.7078706562976593,0.40173769301694723,0.17967952641783494,0.58,753,710,573,3957
42,2,LightGBM,0.41,0.21479010581970215,0.7940849335965543,0.5835271099700746,0.8120133481646273,0.5789473684210527,0.5527638190954773,0.8857142857142857,0.5655526992287918,0.7192390524048815,0.44588570799745836,0.1514091636129794,0.41,440,320,356,2480,0.779354157314555,0.5679996870615086,0.7965960287001502,0.5410590943975442,0.5316742081447964,0.871866295264624,0.5363255990871053,0.7017702517047102,0.40608707292275054,0.15414015356893332,0.41,705,598,621,4069
42,2,MLP,0.55,8.323499917984009,0.8004464285714286,0.5849740442858009,0.7947719688542826,0.5315217391304348,0.614321608040201,0.8460714285714286,0.5699300699300699,0.7301965183058148,0.4380536745234889,0.17715513369552766,0.55,489,431,307,2369,0.7794349530948177,0.5639213188276269,0.7760720840981145,0.49479843953185954,0.5739064856711915,0.8335118920077137,0.5314245810055865,0.7037091888394527,0.3871945677784702,0.18344072429035566,0.55,761,777,565,3890
42,2,TabNet,0.59,34.05932021141052,0.7885994705671213,0.5768994137265302,0.8061735261401557,0.5617977528089888,0.5653266331658291,0.8746428571428572,0.5635566687539136,0.7199847451543431,0.4389862796647381,0.18060601233209886,0.59,450,351,346,2449,0.7733663012435117,0.5555301972713942,0.7860837643917904,0.5157819225251076,0.5422322775263951,0.8553674737518748,0.5286764705882353,0.6987998756391349,0.39063726880653404,0.18708131604487446,0.59,719,675,607,3992
42,3,LogisticRegression,0.55,1.8951942920684814,0.7646702261306533,0.5143185215485342,0.7775305895439377,0.4977324263038549,0.5515075376884422,0.8417857142857142,0.5232419547079857,0.6966466259870783,0.3795009175584848,0.1883957982023083,0.55,439,443,357,2357,0.784103575665733,0.550572106394614,0.7897547138328049,0.5218543046357615,0.5942684766214178,0.8452967645168202,0.5557122708039492,0.719782620569119,0.4202823601537259,0.18318492420334964,0.55,788,722,538,3945
42,3,CatBoost,0.6,6.447508811950684,0.7779468772433595,0.5299477548385008,0.7972747497219133,0.542566709021601,0.5364321608040201,0.8714285714285714,0.5394819962097284,0.7039303661162958,0.4095285732517172,0.18328841952556937,0.6,427,360,369,2440,0.799625576195107,0.5862664306649499,0.8062739863173702,0.561613144137416,0.5671191553544495,0.8742232697664453,0.5643527204502814,0.7206712125604473,0.43980773342068075,0.1784391522383026,0.6,752,587,574,4080
42,3,LightGBM,0.4,0.2033088207244873,0.7700652817659728,0.5288268892162161,0.8050611790878754,0.5669957686882934,0.5050251256281407,0.8903571428571428,0.53421926910299,0.6976911342426417,0.4125781544405009,0.15483570964536372,0.4,402,307,394,2493,0.7967437523046995,0.5731706759716254,0.8127815785082596,0.585,0.5294117647058824,0.8932933361902721,0.5558194774346793,0.7113525504480772,0.4384638708346882,0.15174637516331638,0.4,702,498,624,4169
42,3,MLP,0.57,5.941769599914551,0.7705841708542713,0.5204847842942253,0.7847608453837598,0.513126491646778,0.5402010050251256,0.8542857142857143,0.5263157894736842,0.69724335965542,0.38739034832863956,0.1861701878876671,0.57,430,408,366,2392,0.793305003100942,0.5683565925716645,0.7937593859502753,0.53099173553719,0.581447963800905,0.854081851296336,0.5550755939524838,0.7177649075486205,0.4219388299555439,0.18091039752906962,0.57,771,681,555,3986
42,3,TabNet,0.52,25.91036605834961,0.7661026112706388,0.5021391764284251,0.7705784204671857,0.48452508004268946,0.5703517587939698,0.8275,0.5239469128678592,0.6989258793969849,0.37629449748959803,0.18744902014059678,0.52,454,483,342,2317,0.7831650518822023,0.5343751077623319,0.7755715000834307,0.4941824862216779,0.6085972850678733,0.8230126419541461,0.5454545454545454,0.7158049635110098,0.4023886760355884,0.18380598668959408,0.52,807,826,519,3841
