2026-04-23 20:05:24,806 - taiwan | paper | SMOTE:False | Focal:False | Fold 5 Acc: 0.8153
2026-04-23 20:05:44,547 - taiwan | paper | SMOTE:True | Focal:False | Fold 1 Acc: 0.6927
2026-04-23 20:06:05,785 - taiwan | paper | SMOTE:True | Focal:False | Fold 2 Acc: 0.6627
2026-04-23 20:06:28,727 - taiwan | paper | SMOTE:True | Focal:False | Fold 3 Acc: 0.6567
2026-04-23 20:06:50,300 - taiwan | paper | SMOTE:True | Focal:False | Fold 4 Acc: 0.6513
2026-04-23 20:07:13,114 - taiwan | paper | SMOTE:True | Focal:False | Fold 5 Acc: 0.6730
2026-04-23 20:07:36,530 - taiwan | attn | SMOTE:False | Focal:True | Fold 1 Acc: 0.8207
2026-04-23 20:08:00,912 - taiwan | attn | SMOTE:False | Focal:True | Fold 2 Acc: 0.8128
2026-04-23 20:08:23,522 - taiwan | attn | SMOTE:False | Focal:True | Fold 3 Acc: 0.8142
2026-04-23 20:08:46,095 - taiwan | attn | SMOTE:False | Focal:True | Fold 4 Acc: 0.8257
2026-04-23 20:09:09,472 - taiwan | attn | SMOTE:False | Focal:True | Fold 5 Acc: 0.8182
2026-04-23 20:09:11,928 - SHAP failed for german: The shape of the shap_values matrix does not match the shape of the provided data matrix.
2026-04-23 20:09:14,459 - SHAP failed for australian: The shape of the shap_values matrix does not match the shape of the provided data matrix.
2026-04-23 20:09:17,062 - SHAP failed for taiwan: The shape of the shap_values matrix does not match the shape of the provided data matrix.
2026-04-23 23:38:57,143 - german | paper | SMOTE:False | Focal:False | Fold 1 Acc: 0.7600
2026-04-23 23:38:58,310 - german | paper | SMOTE:False | Focal:False | Fold 2 Acc: 0.8300
2026-04-23 23:38:59,316 - german | paper | SMOTE:False | Focal:False | Fold 3 Acc: 0.7500
2026-04-23 23:39:00,502 - german | paper | SMOTE:False | Focal:False | Fold 4 Acc: 0.7500
2026-04-23 23:39:01,654 - german | paper | SMOTE:False | Focal:False | Fold 5 Acc: 0.7800
2026-04-23 23:39:02,889 - german | paper | SMOTE:False | Focal:False | Fold 6 Acc: 0.7200
2026-04-23 23:39:03,767 - german | paper | SMOTE:False | Focal:False | Fold 7 Acc: 0.7600
2026-04-23 23:39:04,528 - german | paper | SMOTE:False | Focal:False | Fold 8 Acc: 0.7900
2026-04-23 23:39:05,259 - german | paper | SMOTE:False | Focal:False | Fold 9 Acc: 0.8000
2026-04-23 23:39:05,951 - german | paper | SMOTE:False | Focal:False | Fold 10 Acc: 0.7700
2026-04-23 23:39:06,644 - german | paper | SMOTE:True | Focal:False | Fold 1 Acc: 0.6500
2026-04-23 23:39:07,466 - german | paper | SMOTE:True | Focal:False | Fold 2 Acc: 0.7100
2026-04-23 23:39:08,258 - german | paper | SMOTE:True | Focal:False | Fold 3 Acc: 0.5900
2026-04-23 23:39:09,059 - german | paper | SMOTE:True | Focal:False | Fold 4 Acc: 0.6700
2026-04-23 23:39:09,753 - german | paper | SMOTE:True | Focal:False | Fold 5 Acc: 0.6800
2026-04-23 23:39:10,650 - german | paper | SMOTE:True | Focal:False | Fold 6 Acc: 0.6200
2026-04-23 23:39:11,841 - german | paper | SMOTE:True | Focal:False | Fold 7 Acc: 0.6700
2026-04-23 23:39:12,650 - german | paper | SMOTE:True | Focal:False | Fold 8 Acc: 0.6900
2026-04-23 23:39:13,404 - german | paper | SMOTE:True | Focal:False | Fold 9 Acc: 0.6800
2026-04-23 23:39:14,155 - german | paper | SMOTE:True | Focal:False | Fold 10 Acc: 0.7000
2026-04-23 23:39:15,182 - german | attn | SMOTE:False | Focal:True | Fold 1 Acc: 0.7500
2026-04-23 23:39:16,110 - german | attn | SMOTE:False | Focal:True | Fold 2 Acc: 0.8300
2026-04-23 23:39:17,133 - german | attn | SMOTE:False | Focal:True | Fold 3 Acc: 0.7800
2026-04-23 23:39:18,432 - german | attn | SMOTE:False | Focal:True | Fold 4 Acc: 0.7500
2026-04-23 23:39:19,541 - german | attn | SMOTE:False | Focal:True | Fold 5 Acc: 0.8100
2026-04-23 23:39:20,658 - german | attn | SMOTE:False | Focal:True | Fold 6 Acc: 0.6800
2026-04-23 23:39:21,786 - german | attn | SMOTE:False | Focal:True | Fold 7 Acc: 0.7900
2026-04-23 23:39:22,961 - german | attn | SMOTE:False | Focal:True | Fold 8 Acc: 0.7800
2026-04-23 23:39:24,106 - german | attn | SMOTE:False | Focal:True | Fold 9 Acc: 0.8100
2026-04-23 23:39:25,073 - german | attn | SMOTE:False | Focal:True | Fold 10 Acc: 0.7700
2026-04-23 23:39:25,639 - australian | paper | SMOTE:False | Focal:False | Fold 1 Acc: 0.8986
2026-04-23 23:39:26,160 - australian | paper | SMOTE:False | Focal:False | Fold 2 Acc: 0.8551
2026-04-23 23:39:26,754 - australian | paper | SMOTE:False | Focal:False | Fold 3 Acc: 0.9130
2026-04-23 23:39:27,342 - australian | paper | SMOTE:False | Focal:False | Fold 4 Acc: 0.7971
2026-04-23 23:39:27,818 - australian | paper | SMOTE:False | Focal:False | Fold 5 Acc: 0.8696
2026-04-23 23:39:28,339 - australian | paper | SMOTE:False | Focal:False | Fold 6 Acc: 0.8696
2026-04-23 23:39:28,827 - australian | paper | SMOTE:False | Focal:False | Fold 7 Acc: 0.7536
2026-04-23 23:39:29,462 - australian | paper | SMOTE:False | Focal:False | Fold 8 Acc: 0.8261
2026-04-23 23:39:30,045 - australian | paper | SMOTE:False | Focal:False | Fold 9 Acc: 0.8261
2026-04-23 23:39:30,577 - australian | paper | SMOTE:False | Focal:False | Fold 10 Acc: 0.8986
2026-04-23 23:39:30,991 - australian | paper | SMOTE:True | Focal:False | Fold 1 Acc: 0.8551
2026-04-23 23:39:31,422 - australian | paper | SMOTE:True | Focal:False | Fold 2 Acc: 0.7536
2026-04-23 23:39:31,930 - australian | paper | SMOTE:True | Focal:False | Fold 3 Acc: 0.9275
2026-04-23 23:39:32,322 - australian | paper | SMOTE:True | Focal:False | Fold 4 Acc: 0.7826
2026-04-23 23:39:32,733 - australian | paper | SMOTE:True | Focal:False | Fold 5 Acc: 0.8551
2026-04-23 23:39:33,192 - australian | paper | SMOTE:True | Focal:False | Fold 6 Acc: 0.8841
2026-04-23 23:39:33,628 - australian | paper | SMOTE:True | Focal:False | Fold 7 Acc: 0.7391
2026-04-23 23:39:34,096 - australian | paper | SMOTE:True | Focal:False | Fold 8 Acc: 0.8406
2026-04-23 23:39:34,493 - australian | paper | SMOTE:True | Focal:False | Fold 9 Acc: 0.8261
2026-04-23 23:39:35,198 - australian | paper | SMOTE:True | Focal:False | Fold 10 Acc: 0.8986
2026-04-23 23:39:35,892 - australian | attn | SMOTE:False | Focal:True | Fold 1 Acc: 0.8986
2026-04-23 23:39:36,506 - australian | attn | SMOTE:False | Focal:True | Fold 2 Acc: 0.8841
2026-04-23 23:39:37,276 - australian | attn | SMOTE:False | Focal:True | Fold 3 Acc: 0.9130
2026-04-23 23:39:37,972 - australian | attn | SMOTE:False | Focal:True | Fold 4 Acc: 0.8116
