metric,n_pairs,left_mean,right_mean,mean_difference_left_minus_right,wilcoxon_statistic,wilcoxon_pvalue,ttest_statistic,ttest_pvalue,dataset,model,comparison,left_condition,right_condition
pr_auc,10,0.5514,0.536,0.0154,0.0,0.002,6.5001,0.0001,default_credit,mlp,baseline_vs_smoteenn,baseline,smoteenn
balanced_accuracy,10,0.653,0.693,-0.04,0.0,0.002,-8.9808,0.0,default_credit,mlp,baseline_vs_smoteenn,baseline,smoteenn
accuracy,10,0.8212,0.762,0.0591,0.0,0.002,13.6236,0.0,default_credit,mlp,baseline_vs_weighted_bce,baseline,weighted_bce
f1,10,0.4645,0.5338,-0.0693,0.0,0.002,-9.5311,0.0,default_credit,mlp,baseline_vs_weighted_bce,baseline,weighted_bce
pr_auc,10,0.5514,0.5481,0.0033,15.0,0.2324,1.4274,0.1872,default_credit,mlp,baseline_vs_weighted_bce,baseline,weighted_bce
balanced_accuracy,10,0.653,0.7096,-0.0566,0.0,0.002,-18.0569,0.0,default_credit,mlp,baseline_vs_weighted_bce,baseline,weighted_bce
accuracy,10,0.6721,0.762,-0.09,0.0,0.002,-10.4243,0.0,default_credit,mlp,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
f1,10,0.4966,0.5338,-0.0372,0.0,0.002,-8.9052,0.0,default_credit,mlp,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
pr_auc,10,0.536,0.5481,-0.0122,0.0,0.002,-5.8558,0.0002,default_credit,mlp,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
balanced_accuracy,10,0.693,0.7096,-0.0166,0.0,0.002,-5.9601,0.0002,default_credit,mlp,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
accuracy,10,0.6721,0.7613,-0.0892,0.0,0.002,-13.3553,0.0,default_credit,mlp,smoteenn_vs_focal_loss,smoteenn,focal_loss
f1,10,0.4966,0.5342,-0.0376,0.0,0.002,-8.7416,0.0,default_credit,mlp,smoteenn_vs_focal_loss,smoteenn,focal_loss
